,coauthored_relationship_from,coauthored_relationship_to
22,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_2858d_cd105_7d3ea_e7f7d_5f782
23,authorID_2858d_cd105_7d3ea_e7f7d_5f782,authorID_f10d9_1a759_6bf5a_67735_79ff1
24,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_81178_6ad1a_e74ad_fdd20_dd037
25,authorID_81178_6ad1a_e74ad_fdd20_dd037,authorID_f10d9_1a759_6bf5a_67735_79ff1
26,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_85daa_f6f70_55cd5_73628_7faed
27,authorID_85daa_f6f70_55cd5_73628_7faed,authorID_f10d9_1a759_6bf5a_67735_79ff1
28,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_98010_bd927_0f9b1_00b62_14a21
29,authorID_98010_bd927_0f9b1_00b62_14a21,authorID_f10d9_1a759_6bf5a_67735_79ff1
30,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_f57e5_cb1f4_532c0_08183_057ec
31,authorID_f57e5_cb1f4_532c0_08183_057ec,authorID_f10d9_1a759_6bf5a_67735_79ff1
32,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_8b940_be7fb_78aaa_6b656_7dd7a
33,authorID_8b940_be7fb_78aaa_6b656_7dd7a,authorID_f10d9_1a759_6bf5a_67735_79ff1
34,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_3949a_c1596_ec771_06a70_9a618
35,authorID_3949a_c1596_ec771_06a70_9a618,authorID_f10d9_1a759_6bf5a_67735_79ff1
36,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_14063_69760_3e22d_600d3_36bee
37,authorID_14063_69760_3e22d_600d3_36bee,authorID_f10d9_1a759_6bf5a_67735_79ff1
38,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_39fa9_ec190_eee7b_6f4df_f1100
39,authorID_39fa9_ec190_eee7b_6f4df_f1100,authorID_f10d9_1a759_6bf5a_67735_79ff1
40,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_5f9c4_ab08c_ac745_7e911_1a30e
41,authorID_5f9c4_ab08c_ac745_7e911_1a30e,authorID_f10d9_1a759_6bf5a_67735_79ff1
42,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_b4944_c6ff0_8dc6f_43da2_e9c82
43,authorID_b4944_c6ff0_8dc6f_43da2_e9c82,authorID_f10d9_1a759_6bf5a_67735_79ff1
44,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_a0d17_7b496_7a6d9_9f4ff_117de
45,authorID_a0d17_7b496_7a6d9_9f4ff_117de,authorID_f10d9_1a759_6bf5a_67735_79ff1
46,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_4621c_1d55f_a4e86_ce0da_e4288
47,authorID_4621c_1d55f_a4e86_ce0da_e4288,authorID_f10d9_1a759_6bf5a_67735_79ff1
48,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_835d5_e8314_340ab_852a2_f979a
49,authorID_835d5_e8314_340ab_852a2_f979a,authorID_f10d9_1a759_6bf5a_67735_79ff1
50,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_6b86b_273ff_34fce_19d6b_804ef
51,authorID_6b86b_273ff_34fce_19d6b_804ef,authorID_f10d9_1a759_6bf5a_67735_79ff1
52,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_7ed8f_0f3b7_07956_d9fb1_e889e
53,authorID_7ed8f_0f3b7_07956_d9fb1_e889e,authorID_f10d9_1a759_6bf5a_67735_79ff1
54,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_09895_de040_7bcb0_38673_3daa1
55,authorID_09895_de040_7bcb0_38673_3daa1,authorID_f10d9_1a759_6bf5a_67735_79ff1
56,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_c76b4_05781_134be_1dab7_fe45a
57,authorID_c76b4_05781_134be_1dab7_fe45a,authorID_f10d9_1a759_6bf5a_67735_79ff1
58,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_1e472_b39b1_05d34_9bcd0_69c4a
59,authorID_1e472_b39b1_05d34_9bcd0_69c4a,authorID_f10d9_1a759_6bf5a_67735_79ff1
60,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_734d0_759cd_b4e0d_0a35e_4fd73
61,authorID_734d0_759cd_b4e0d_0a35e_4fd73,authorID_f10d9_1a759_6bf5a_67735_79ff1
62,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_d59ec_ed1de_d07f8_4c145_592f6
63,authorID_d59ec_ed1de_d07f8_4c145_592f6,authorID_f10d9_1a759_6bf5a_67735_79ff1
64,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_7688b_6ef52_55596_2d008_fff89
65,authorID_7688b_6ef52_55596_2d008_fff89,authorID_f10d9_1a759_6bf5a_67735_79ff1
66,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_07919_63ca2_667a2_3cf32_68ad2
67,authorID_07919_63ca2_667a2_3cf32_68ad2,authorID_f10d9_1a759_6bf5a_67735_79ff1
68,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_7f0a2_2117f_8fe01_72cf9_209ff
69,authorID_7f0a2_2117f_8fe01_72cf9_209ff,authorID_f10d9_1a759_6bf5a_67735_79ff1
70,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_b7a56_873cd_771f2_c446d_369b6
71,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_f10d9_1a759_6bf5a_67735_79ff1
72,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_da70d_fa4d9_f95ac_979f9_21e8e
73,authorID_da70d_fa4d9_f95ac_979f9_21e8e,authorID_f10d9_1a759_6bf5a_67735_79ff1
74,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_39bb8_8f40d_3aa2b_2fe9d_ea67b
75,authorID_39bb8_8f40d_3aa2b_2fe9d_ea67b,authorID_f10d9_1a759_6bf5a_67735_79ff1
76,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_48a17_06eca_5ee61_48f74_8ca91
77,authorID_48a17_06eca_5ee61_48f74_8ca91,authorID_f10d9_1a759_6bf5a_67735_79ff1
78,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_37c20_f19f3_272b5_ccc3a_5d805
79,authorID_37c20_f19f3_272b5_ccc3a_5d805,authorID_f10d9_1a759_6bf5a_67735_79ff1
80,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_1be00_34108_2e25c_4e251_ca671
81,authorID_1be00_34108_2e25c_4e251_ca671,authorID_f10d9_1a759_6bf5a_67735_79ff1
82,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_38d66_d9692_ac590_000a9_1b03a
83,authorID_38d66_d9692_ac590_000a9_1b03a,authorID_f10d9_1a759_6bf5a_67735_79ff1
84,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_27bad_c983d_f1780_b60c2_b3fa9
85,authorID_27bad_c983d_f1780_b60c2_b3fa9,authorID_b7a56_873cd_771f2_c446d_369b6
86,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_f57e5_cb1f4_532c0_08183_057ec
87,authorID_f57e5_cb1f4_532c0_08183_057ec,authorID_b7a56_873cd_771f2_c446d_369b6
88,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_7ed8f_0f3b7_07956_d9fb1_e889e
89,authorID_7ed8f_0f3b7_07956_d9fb1_e889e,authorID_b7a56_873cd_771f2_c446d_369b6
90,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_f74ef_abef1_2ea61_9e30b_79bdd
91,authorID_f74ef_abef1_2ea61_9e30b_79bdd,authorID_b7a56_873cd_771f2_c446d_369b6
92,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_9a049_b03f6_fc40b_fcf2f_13632
93,authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_b7a56_873cd_771f2_c446d_369b6
94,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_0bba8_69d7f_392cb_caca6_b8935
95,authorID_0bba8_69d7f_392cb_caca6_b8935,authorID_b7a56_873cd_771f2_c446d_369b6
96,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_a0d17_7b496_7a6d9_9f4ff_117de
97,authorID_a0d17_7b496_7a6d9_9f4ff_117de,authorID_b7a56_873cd_771f2_c446d_369b6
98,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_d59ec_ed1de_d07f8_4c145_592f6
99,authorID_d59ec_ed1de_d07f8_4c145_592f6,authorID_b7a56_873cd_771f2_c446d_369b6
100,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_5f9c4_ab08c_ac745_7e911_1a30e
101,authorID_5f9c4_ab08c_ac745_7e911_1a30e,authorID_b7a56_873cd_771f2_c446d_369b6
102,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_44c80_31cb0_36a73_50d8b_9b860
103,authorID_44c80_31cb0_36a73_50d8b_9b860,authorID_b7a56_873cd_771f2_c446d_369b6
104,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_3038b_fb575_bee6a_0e619_45eff
105,authorID_3038b_fb575_bee6a_0e619_45eff,authorID_b7a56_873cd_771f2_c446d_369b6
106,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_19581_e27de_7ced0_0ff1c_e50b2
107,authorID_19581_e27de_7ced0_0ff1c_e50b2,authorID_b7a56_873cd_771f2_c446d_369b6
108,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_6f4b6_61212_5fb3a_0daec_d2799
109,authorID_6f4b6_61212_5fb3a_0daec_d2799,authorID_b7a56_873cd_771f2_c446d_369b6
110,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_3949a_c1596_ec771_06a70_9a618
111,authorID_3949a_c1596_ec771_06a70_9a618,authorID_b7a56_873cd_771f2_c446d_369b6
112,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_8b940_be7fb_78aaa_6b656_7dd7a
113,authorID_8b940_be7fb_78aaa_6b656_7dd7a,authorID_b7a56_873cd_771f2_c446d_369b6
114,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_7f0a2_2117f_8fe01_72cf9_209ff
115,authorID_7f0a2_2117f_8fe01_72cf9_209ff,authorID_b7a56_873cd_771f2_c446d_369b6
116,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_37c20_f19f3_272b5_ccc3a_5d805
117,authorID_37c20_f19f3_272b5_ccc3a_5d805,authorID_b7a56_873cd_771f2_c446d_369b6
118,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_031b4_af519_7ec30_a926f_48cf4
119,authorID_031b4_af519_7ec30_a926f_48cf4,authorID_b7a56_873cd_771f2_c446d_369b6
120,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_138d9_e809e_386a7_b8007_91d1f
121,authorID_138d9_e809e_386a7_b8007_91d1f,authorID_b7a56_873cd_771f2_c446d_369b6
122,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_d8d17_90737_d57ac_4fe91_a2c0a
123,authorID_d8d17_90737_d57ac_4fe91_a2c0a,authorID_b7a56_873cd_771f2_c446d_369b6
124,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_ec2e9_90b93_4dde5_5cb87_30062
125,authorID_ec2e9_90b93_4dde5_5cb87_30062,authorID_b7a56_873cd_771f2_c446d_369b6
126,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_87226_16204_217ed_db39e_7df96
127,authorID_87226_16204_217ed_db39e_7df96,authorID_b7a56_873cd_771f2_c446d_369b6
128,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_1253e_9373e_781b7_50026_6caa5
129,authorID_1253e_9373e_781b7_50026_6caa5,authorID_b7a56_873cd_771f2_c446d_369b6
130,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_27d71_9c754_aacd4_92a6d_c8a1b
131,authorID_27d71_9c754_aacd4_92a6d_c8a1b,authorID_b7a56_873cd_771f2_c446d_369b6
132,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_e0850_a775c_17a87_060c0_cf6ef
133,authorID_e0850_a775c_17a87_060c0_cf6ef,authorID_b7a56_873cd_771f2_c446d_369b6
134,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_2c7d5_490e6_05083_6f8f2_f0d49
135,authorID_2c7d5_490e6_05083_6f8f2_f0d49,authorID_b7a56_873cd_771f2_c446d_369b6
136,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_4c15f_47afe_7f817_fd559_e12dd
137,authorID_4c15f_47afe_7f817_fd559_e12dd,authorID_b7a56_873cd_771f2_c446d_369b6
138,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_cba28_b89eb_85949_7f544_956d6
139,authorID_cba28_b89eb_85949_7f544_956d6,authorID_b7a56_873cd_771f2_c446d_369b6
140,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_835d5_e8314_340ab_852a2_f979a
141,authorID_835d5_e8314_340ab_852a2_f979a,authorID_b7a56_873cd_771f2_c446d_369b6
142,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_d6e5a_20b30_f8721_6b2c7_58f5e
143,authorID_d6e5a_20b30_f8721_6b2c7_58f5e,authorID_b7a56_873cd_771f2_c446d_369b6
144,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_5ef6f_df325_13aa7_cd11f_72bec
145,authorID_5ef6f_df325_13aa7_cd11f_72bec,authorID_b7a56_873cd_771f2_c446d_369b6
146,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_e3d6c_4d459_9e008_82384_ca981
147,authorID_e3d6c_4d459_9e008_82384_ca981,authorID_b7a56_873cd_771f2_c446d_369b6
148,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_eb1e3_3e8a8_1b697_b7585_5af6b
149,authorID_eb1e3_3e8a8_1b697_b7585_5af6b,authorID_b7a56_873cd_771f2_c446d_369b6
150,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_0b918_943df_0962b_c7a18_24c05
151,authorID_0b918_943df_0962b_c7a18_24c05,authorID_b7a56_873cd_771f2_c446d_369b6
152,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_7688b_6ef52_55596_2d008_fff89
153,authorID_7688b_6ef52_55596_2d008_fff89,authorID_b7a56_873cd_771f2_c446d_369b6
154,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_5a39c_add1b_00709_3db50_74479
155,authorID_5a39c_add1b_00709_3db50_74479,authorID_b7a56_873cd_771f2_c446d_369b6
156,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_1c6c0_bb2c7_ecdc3_be8e1_34f79
157,authorID_1c6c0_bb2c7_ecdc3_be8e1_34f79,authorID_b7a56_873cd_771f2_c446d_369b6
158,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_28117_45d7b_8d887_4f6e6_53d17
159,authorID_28117_45d7b_8d887_4f6e6_53d17,authorID_b7a56_873cd_771f2_c446d_369b6
160,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_67e9c_3aceb_b154a_282f3_26d4f
161,authorID_67e9c_3aceb_b154a_282f3_26d4f,authorID_b7a56_873cd_771f2_c446d_369b6
162,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_81b8a_03f97_e8787_c53fe_1a86b
163,authorID_81b8a_03f97_e8787_c53fe_1a86b,authorID_49d18_0ecf5_61328_19571_bf39d
164,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_3949a_c1596_ec771_06a70_9a618
165,authorID_3949a_c1596_ec771_06a70_9a618,authorID_49d18_0ecf5_61328_19571_bf39d
166,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_a0d17_7b496_7a6d9_9f4ff_117de
167,authorID_a0d17_7b496_7a6d9_9f4ff_117de,authorID_49d18_0ecf5_61328_19571_bf39d
168,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_02d20_bbd7e_394ad_5999a_4ceba
169,authorID_02d20_bbd7e_394ad_5999a_4ceba,authorID_49d18_0ecf5_61328_19571_bf39d
170,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_f369c_b89fc_627e6_68987_007d1
171,authorID_f369c_b89fc_627e6_68987_007d1,authorID_49d18_0ecf5_61328_19571_bf39d
172,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_56f4d_a26ed_95673_0309f_a1488
173,authorID_56f4d_a26ed_95673_0309f_a1488,authorID_49d18_0ecf5_61328_19571_bf39d
174,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_2c7d5_490e6_05083_6f8f2_f0d49
175,authorID_2c7d5_490e6_05083_6f8f2_f0d49,authorID_49d18_0ecf5_61328_19571_bf39d
176,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_87226_16204_217ed_db39e_7df96
177,authorID_87226_16204_217ed_db39e_7df96,authorID_49d18_0ecf5_61328_19571_bf39d
178,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_d48ff_4b2f6_8a10f_d7c86_f185a
179,authorID_d48ff_4b2f6_8a10f_d7c86_f185a,authorID_49d18_0ecf5_61328_19571_bf39d
180,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_f10d9_1a759_6bf5a_67735_79ff1
181,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_49d18_0ecf5_61328_19571_bf39d
182,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_8bd9c_0d453_53375_7387e_d019c
183,authorID_8bd9c_0d453_53375_7387e_d019c,authorID_49d18_0ecf5_61328_19571_bf39d
184,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_8efbb_e9bc1_9ad2e_043c6_cdb18
185,authorID_8efbb_e9bc1_9ad2e_043c6_cdb18,authorID_49d18_0ecf5_61328_19571_bf39d
186,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_48a17_06eca_5ee61_48f74_8ca91
187,authorID_48a17_06eca_5ee61_48f74_8ca91,authorID_49d18_0ecf5_61328_19571_bf39d
188,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_5f9c4_ab08c_ac745_7e911_1a30e
189,authorID_5f9c4_ab08c_ac745_7e911_1a30e,authorID_49d18_0ecf5_61328_19571_bf39d
190,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_3038b_fb575_bee6a_0e619_45eff
191,authorID_3038b_fb575_bee6a_0e619_45eff,authorID_49d18_0ecf5_61328_19571_bf39d
192,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_4c15f_47afe_7f817_fd559_e12dd
193,authorID_4c15f_47afe_7f817_fd559_e12dd,authorID_49d18_0ecf5_61328_19571_bf39d
194,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_3635a_91e3d_a857f_7847f_68185
195,authorID_3635a_91e3d_a857f_7847f_68185,authorID_49d18_0ecf5_61328_19571_bf39d
196,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_d6061_bbee6_cf13b_d7376_5faae
197,authorID_d6061_bbee6_cf13b_d7376_5faae,authorID_49d18_0ecf5_61328_19571_bf39d
198,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_7f0a2_2117f_8fe01_72cf9_209ff
199,authorID_7f0a2_2117f_8fe01_72cf9_209ff,authorID_49d18_0ecf5_61328_19571_bf39d
200,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_b7a56_873cd_771f2_c446d_369b6
201,authorID_b7a56_873cd_771f2_c446d_369b6,authorID_49d18_0ecf5_61328_19571_bf39d
202,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_9a049_b03f6_fc40b_fcf2f_13632
203,authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_49d18_0ecf5_61328_19571_bf39d
204,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_9e11c_362bc_3d357_2970b_973d5
205,authorID_9e11c_362bc_3d357_2970b_973d5,authorID_49d18_0ecf5_61328_19571_bf39d
206,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_c75cb_66ae2_8d8eb_c6ede_d002c
207,authorID_c75cb_66ae2_8d8eb_c6ede_d002c,authorID_49d18_0ecf5_61328_19571_bf39d
208,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_1038e_0b72d_98745_fac0f_b015f
209,authorID_1038e_0b72d_98745_fac0f_b015f,authorID_49d18_0ecf5_61328_19571_bf39d
210,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_d59ec_ed1de_d07f8_4c145_592f6
211,authorID_d59ec_ed1de_d07f8_4c145_592f6,authorID_49d18_0ecf5_61328_19571_bf39d
212,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_4a44d_c1536_4204a_80fe8_0e903
213,authorID_4a44d_c1536_4204a_80fe8_0e903,authorID_49d18_0ecf5_61328_19571_bf39d
214,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_6f4b6_61212_5fb3a_0daec_d2799
215,authorID_6f4b6_61212_5fb3a_0daec_d2799,authorID_49d18_0ecf5_61328_19571_bf39d
216,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_09895_de040_7bcb0_38673_3daa1
217,authorID_09895_de040_7bcb0_38673_3daa1,authorID_49d18_0ecf5_61328_19571_bf39d
218,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_d6e5a_20b30_f8721_6b2c7_58f5e
219,authorID_d6e5a_20b30_f8721_6b2c7_58f5e,authorID_49d18_0ecf5_61328_19571_bf39d
220,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_27d71_9c754_aacd4_92a6d_c8a1b
221,authorID_27d71_9c754_aacd4_92a6d_c8a1b,authorID_49d18_0ecf5_61328_19571_bf39d
222,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_f57e5_cb1f4_532c0_08183_057ec
223,authorID_f57e5_cb1f4_532c0_08183_057ec,authorID_49d18_0ecf5_61328_19571_bf39d
224,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_28117_45d7b_8d887_4f6e6_53d17
225,authorID_28117_45d7b_8d887_4f6e6_53d17,authorID_49d18_0ecf5_61328_19571_bf39d
226,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_d4ee9_f58e5_86057_4ca98_e3b48
227,authorID_d4ee9_f58e5_86057_4ca98_e3b48,authorID_49d18_0ecf5_61328_19571_bf39d
228,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_2747b_7c718_564ba_5f066_f0523
229,authorID_2747b_7c718_564ba_5f066_f0523,authorID_49d18_0ecf5_61328_19571_bf39d
230,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_eb1e3_3e8a8_1b697_b7585_5af6b
231,authorID_eb1e3_3e8a8_1b697_b7585_5af6b,authorID_49d18_0ecf5_61328_19571_bf39d
232,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_36ebe_205bc_dfc49_9a25e_6923f
233,authorID_36ebe_205bc_dfc49_9a25e_6923f,authorID_49d18_0ecf5_61328_19571_bf39d
234,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_61a22_9bae1_e9033_1edd9_86b6b
235,authorID_61a22_9bae1_e9033_1edd9_86b6b,authorID_49d18_0ecf5_61328_19571_bf39d
236,authorID_49d18_0ecf5_61328_19571_bf39d,authorID_1c6c0_bb2c7_ecdc3_be8e1_34f79
237,authorID_1c6c0_bb2c7_ecdc3_be8e1_34f79,authorID_49d18_0ecf5_61328_19571_bf39d
238,authorID_7688b_6ef52_55596_2d008_fff89,authorID_27d71_9c754_aacd4_92a6d_c8a1b
239,authorID_27d71_9c754_aacd4_92a6d_c8a1b,authorID_7688b_6ef52_55596_2d008_fff89
240,authorID_7688b_6ef52_55596_2d008_fff89,authorID_058d5_d43bf_485bf_78dda_1ed4e
241,authorID_058d5_d43bf_485bf_78dda_1ed4e,authorID_7688b_6ef52_55596_2d008_fff89
242,authorID_7688b_6ef52_55596_2d008_fff89,authorID_fa2b7_af0a8_11b9a_cde60_2aacb
243,authorID_fa2b7_af0a8_11b9a_cde60_2aacb,authorID_7688b_6ef52_55596_2d008_fff89
244,authorID_7688b_6ef52_55596_2d008_fff89,authorID_1c6c0_bb2c7_ecdc3_be8e1_34f79
245,authorID_1c6c0_bb2c7_ecdc3_be8e1_34f79,authorID_7688b_6ef52_55596_2d008_fff89
246,authorID_7688b_6ef52_55596_2d008_fff89,authorID_67e9c_3aceb_b154a_282f3_26d4f
247,authorID_67e9c_3aceb_b154a_282f3_26d4f,authorID_7688b_6ef52_55596_2d008_fff89
248,authorID_7688b_6ef52_55596_2d008_fff89,authorID_e888a_676e1_926d0_c08b5_f11fb
249,authorID_e888a_676e1_926d0_c08b5_f11fb,authorID_7688b_6ef52_55596_2d008_fff89
250,authorID_7688b_6ef52_55596_2d008_fff89,authorID_19581_e27de_7ced0_0ff1c_e50b2
251,authorID_19581_e27de_7ced0_0ff1c_e50b2,authorID_7688b_6ef52_55596_2d008_fff89
252,authorID_7688b_6ef52_55596_2d008_fff89,authorID_2747b_7c718_564ba_5f066_f0523
253,authorID_2747b_7c718_564ba_5f066_f0523,authorID_7688b_6ef52_55596_2d008_fff89
254,authorID_7688b_6ef52_55596_2d008_fff89,authorID_138d9_e809e_386a7_b8007_91d1f
255,authorID_138d9_e809e_386a7_b8007_91d1f,authorID_7688b_6ef52_55596_2d008_fff89
256,authorID_7688b_6ef52_55596_2d008_fff89,authorID_4621c_1d55f_a4e86_ce0da_e4288
257,authorID_4621c_1d55f_a4e86_ce0da_e4288,authorID_7688b_6ef52_55596_2d008_fff89
